,price,area,status,bedrooms,bathroom,age
330,29.5,850,1,2,2.0,3.0
331,22.5,600,1,1,2.0,3.0
332,22.5,630,1,2,2.0,3.0
333,16.5,550,1,1,2.0,3.0
334,42.19,870,0,2,2.0,0.0
335,37.34,770,0,2,2.0,0.0
336,41.12,848,0,2,2.0,0.0
337,26.0,800,1,2,2.0,3.0
338,20.0,600,1,2,2.0,3.0
339,16.71,490,1,1,1.0,3.0
340,87.27,1247,0,2,2.0,0.0
341,190.0,1500,1,3,3.0,2.0
342,57.79,1051,0,2,2.0,0.0
343,73.0,1400,0,3,3.0,0.0
344,72.0,1500,1,3,3.0,5.0
345,34.0,600,0,2,2.0,0.0
346,57.74,1013,0,2,2.0,0.0
347,54.64,1051,0,2,2.0,0.0
348,120.0,1723,0,3,3.0,0.0
349,99.9,1350,0,3,3.0,0.0
350,81.4,1122,0,2,2.0,0.0
351,79.8,1400,0,3,3.0,0.0
352,77.51,1491,0,3,3.0,0.0
353,39.0,999,1,2,2.0,4.0
354,19.36,605,0,1,1.0,0.0
355,80.0,1700,1,3,3.0,5.0
356,99.9,1350,0,3,3.0,0.0
357,81.4,1122,0,2,2.0,0.0
358,118.0,1600,0,3,3.0,0.0
359,442.0,2601,0,3,3.0,0.0
360,60.87,1068,0,2,2.0,0.0
361,41.58,990,1,1,2.0,6.0
362,36.0,800,0,1,2.0,0.0
363,109.0,1708,0,3,3.0,0.0
364,54.64,1051,0,2,2.0,0.0
365,70.65,1359,0,3,2.0,0.0
366,74.47,1655,1,3,3.0,4.0
367,82.86,1247,0,2,2.0,0.0
368,85.45,1554,0,3,3.0,0.0
369,81.4,1122,0,2,2.0,0.0
370,118.0,1600,0,3,3.0,0.0
371,442.0,2601,0,3,3.0,0.0
372,60.87,1068,0,2,2.0,0.0
373,26.8,620,1,2,2.0,3.0
374,25.7,620,1,2,2.0,3.0
375,25.99,620,1,2,2.0,3.0
376,26.0,620,1,2,2.0,3.0
377,22.75,600,1,1,2.0,3.0
378,22.85,600,1,2,2.0,3.0
379,17.84,600,1,1,1.0,3.0
380,37.0,1300,1,2,2.0,3.0
381,85.0,1071,1,2,2.0,5.0
382,34.0,675,1,2,2.0,3.0
383,28.0,800,1,2,2.0,3.0
384,260.0,3485,1,5,5.0,4.0
385,27.0,720,1,2,2.0,3.0
386,53.0,942,1,2,2.0,5.0
387,53.0,942,1,2,2.0,5.0
388,53.0,942,1,2,2.0,5.0
389,25.0,582,1,2,2.0,2.0
390,310.0,2400,1,3,3.0,6.0
391,28.0,800,1,2,2.0,3.0
392,30.0,950,1,2,2.0,1.0
393,22.0,420,1,1,2.0,3.0
394,85.0,1071,1,2,2.0,5.0
395,230.0,1590,1,3,3.0,4.0
396,34.0,675,1,2,2.0,3.0
397,34.0,675,1,2,2.0,3.0
398,44.75,1250,1,2,3.0,3.0
399,25.0,619,1,2,1.0,4.0
400,57.5,922,1,2,2.0,5.0
401,53.0,942,1,2,2.0,5.0
402,53.0,942,1,2,2.0,5.0
403,53.0,942,1,2,2.0,5.0
404,53.0,942,1,2,2.0,5.0
405,53.0,942,1,2,2.0,5.0
406,53.0,942,1,2,2.0,5.0
407,125.0,2350,1,4,4.0,5.0
408,125.0,2350,1,4,4.0,5.0
409,110.0,2350,1,4,4.0,5.0
410,25.0,619,1,2,1.0,4.0
411,125.0,2350,1,4,4.0,5.0
412,125.0,2350,1,4,4.0,5.0
413,110.0,2350,1,4,4.0,5.0
414,53.0,942,1,2,2.0,5.0
415,53.0,942,1,2,2.0,5.0
416,53.0,942,1,2,2.0,5.0
417,53.0,942,1,2,2.0,5.0
418,53.0,942,1,2,2.0,5.0
419,53.0,942,1,2,2.0,5.0
420,53.0,942,1,2,2.0,5.0
421,53.0,942,1,2,2.0,5.0
422,53.0,942,1,2,2.0,5.0
423,310.0,2400,1,3,3.0,6.0
424,35.0,700,1,2,2.0,4.0
425,25.0,650,1,2,2.0,4.0
426,25.0,650,1,2,2.0,4.0
427,25.0,650,1,2,2.0,4.0
428,30.0,905,1,2,2.0,4.0
429,33.0,580,1,2,2.0,4.0
430,47.0,1505,1,3,3.0,5.0
431,34.99,1175,1,2,2.0,3.0
432,21.99,600,1,1,2.0,3.0
433,22.0,600,1,1,2.0,3.0
434,29.0,800,1,2,2.0,3.0
435,32.0,1000,1,2,2.0,3.0
436,195.0,3850,1,5,5.0,5.0
437,145.0,1000,1,2,1.0,3.0
438,58.45,759,1,2,2.0,6.0
439,29.0,650,1,1,1.0,3.0
440,66.44,923,0,2,2.0,0.0
441,78.1,1085,0,3,3.0,0.0
442,205.0,1850,1,3,3.0,4.0
443,75.0,1655,1,3,3.0,1.0
444,70.0,1600,1,3,3.0,1.0
445,100.0,2100,1,3,3.0,1.0
446,95.0,2000,1,3,3.0,1.0
447,90.0,1900,1,3,3.0,1.0
448,85.0,1800,1,3,3.0,1.0
449,80.0,1700,1,3,3.0,1.0
450,108.0,1065,1,2,2.0,1.0
451,37.34,770,0,2,2.0,0.0
452,23.0,594,1,1,2.0,3.0
453,26.5,630,1,2,2.0,3.0
454,34.99,1201,1,2,2.0,3.0
455,28.99,751,1,2,2.0,3.0
456,26.99,701,1,2,2.0,3.0
457,29.99,847,1,2,2.0,3.0
458,22.99,609,1,2,2.0,3.0
459,46.0,1000,0,2,2.0,0.0
460,57.0,1500,1,2,3.0,3.0
461,36.0,900,1,1,2.0,3.0
462,54.0,1050,1,2,2.0,3.0
463,50.0,1080,1,2,3.0,4.0
464,58.0,1250,1,2,3.0,4.0
465,48.0,1160,1,2,3.0,3.0
466,53.0,1060,1,2,3.0,3.0
467,48.0,1126,1,1,2.0,3.0
468,85.62,1427,1,3,3.0,9.0
469,79.02,1317,1,3,3.0,9.0
470,75.24,1254,1,3,3.0,9.0
471,66.96,1116,1,3,3.0,9.0
472,60.0,1000,1,2,2.0,9.0
473,53.16,886,1,2,2.0,9.0
474,45.06,751,1,2,2.0,9.0
475,117.0,1455,1,3,3.0,3.0
476,123.0,1530,1,3,3.0,3.0
477,30.0,850,1,2,2.0,3.0
478,26.9,700,1,2,2.0,3.0
479,27.0,700,1,2,2.0,3.0
480,25.8,700,1,2,2.0,3.0
481,26.0,700,1,2,2.0,3.0
482,23.0,600,1,2,2.0,3.0
483,51.06,690,1,2,2.0,6.0
484,91.2,1200,1,3,3.0,6.0
485,55.5,750,1,2,2.0,6.0
486,46.0,1006,1,2,2.0,4.0
487,46.12,1006,1,2,2.0,4.0
488,37.0,574,1,1,1.0,2.0
489,80.0,1527,1,3,2.0,1.0
490,65.0,1002,1,2,2.0,2.0
491,80.0,1753,1,3,2.0,1.0
492,60.0,1340,1,2,2.0,1.0
493,53.0,974,0,2,2.0,0.0
494,30.0,612,0,2,2.0,0.0
495,66.0,1366,0,3,2.0,0.0
496,47.0,1073,0,2,2.0,0.0
497,95.0,1371,1,3,2.0,2.0
498,42.0,591,1,2,1.0,2.0
499,80.0,1237,0,2,2.0,0.0
500,28.0,730,0,2,2.0,0.0
501,32.0,849,0,2,2.0,0.0
502,33.0,885,0,3,3.0,0.0
503,70.0,1148,1,2,2.0,2.0
504,68.0,1024,1,2,2.0,3.0
505,170.0,2616,1,4,3.0,3.0
506,42.0,979,0,2,2.0,0.0
507,46.0,1262,0,3,2.0,0.0
508,85.0,1234,1,2,2.0,2.0
509,103.0,1469,1,3,3.0,2.0
510,29.0,576,1,1,1.0,1.0
511,41.0,855,1,2,2.0,1.0
512,20.0,570,0,1,1.0,0.0
513,53.0,1012,1,2,2.0,1.0
514,40.0,588,0,2,1.0,0.0
515,85.0,1337,1,3,3.0,2.0
516,51.0,1225,1,3,2.0,4.0
517,48.0,832,1,2,2.0,1.0
518,64.0,959,0,2,2.0,0.0
519,70.0,1370,0,3,2.0,0.0
520,26.0,571,1,2,2.0,1.0
521,35.0,994,0,2,2.0,0.0
522,97.0,1598,0,3,2.0,0.0
523,23.0,620,0,1,1.0,0.0
524,68.0,1024,1,2,2.0,3.0
525,40.0,588,0,1,1.0,0.0
526,85.0,1300,1,2,2.0,6.0
527,22.0,600,1,1,2.0,3.0
528,28.0,850,1,2,2.0,3.0
529,43.52,1262,0,3,3.0,0.0
530,214.0,1935,0,3,3.0,0.0
531,199.0,1793,0,3,2.0,0.0
532,26.0,700,1,2,2.0,3.0
533,27.0,725,1,2,2.0,3.0
534,86.0,1927,1,3,3.0,4.0
535,78.0,1706,1,3,3.0,4.0
536,59.0,1437,1,2,2.0,4.0
537,87.0,1991,1,3,3.0,4.0
538,120.0,1896,1,4,3.0,4.0
539,47.33,1246,0,3,2.0,0.0
540,86.0,1010,1,2,2.0,12.0
541,450.0,3000,1,3,4.0,9.0
542,25.85,650,1,2,2.0,3.0
543,25.9,650,1,2,2.0,3.0
544,26.5,700,1,2,2.0,3.0
545,26.0,650,1,2,2.0,3.0
546,18.0,599,1,1,2.0,3.0
547,42.0,762,0,2,2.0,0.0
548,70.0,1024,1,2,2.0,3.0
549,25.0,749,1,2,2.0,3.0
550,25.0,755,1,2,2.0,3.0
551,28.9,920,1,2,2.0,3.0
552,31.25,950,1,2,2.0,3.0
553,25.0,755,1,2,2.0,3.0
554,28.9,920,1,2,2.0,3.0
555,31.25,950,1,2,2.0,3.0
556,22.25,603,1,1,2.0,3.0
557,34.5,1050,1,2,2.0,3.0
558,27.0,812,1,2,2.0,3.0
559,18.99,611,1,1,2.0,3.0
560,65.7,1096,0,3,2.0,0.0
561,62.0,1020,0,2,2.0,0.0
562,69.0,1000,1,2,2.0,5.0
563,26.8,700,1,2,2.0,3.0
564,22.8,600,1,2,2.0,3.0
565,26.75,700,1,2,2.0,3.0
566,65.0,638,1,2,1.0,3.0
567,75.0,1791,1,3,3.0,7.0
568,215.0,1930,0,3,3.0,0.0
569,27.5,800,1,2,2.0,3.0
570,27.5,800,1,2,2.0,3.0
571,29.5,800,1,2,2.0,3.0
572,30.0,800,1,2,2.0,3.0
573,27.5,750,1,2,2.0,3.0
574,27.0,800,1,2,2.0,3.0
575,27.5,750,1,2,2.0,3.0
576,27.5,750,1,2,2.0,3.0
577,30.0,800,1,2,2.0,3.0
578,31.5,850,1,2,2.0,3.0
579,34.0,900,1,2,2.0,3.0
